Authority \ Econ,-5 (Command),-4 (Planned),-3 (Directed),-2 (Intervention),-1 (Social-Market),0 (Mixed),+1 (Market-Led),+2 (Deregulated),+3 (Free-Market),+4 (Laissez-Faire),+5 (Commodified)
+5 (Totalitarian),Stalinism,Maoism,State Capitalism,War Economy,Command Socialism,Garrison State,Corporate Dirigisme,Stratocracy,Cyberpunk Autocracy,Techno-Feudalism,Corporate Dystopia
+4 (Autocratic),Juche,Command Administration,State Champions,Dirigisme,Neo-Statism,One-Party State,Market Authoritarianism,Crony Capitalism,Plutocracy,Oligarchic Capitalism,Private Tyranny
+3 (Oligarchic),Politburo Rule,Nomenklatura,Developmentalism,National Synergy,Social Corporatism,Corporatism,Paternalism,Clientelism,Plutocratic Republic,Cartel State,Anarcho-Capitalist State
+2 (Illiberal),People's Republic,State-Led Development,Guided Economy,Welfare Statism,Managed Democracy,Illiberal Democracy,Soft Autocracy,Neoliberalism,Market Populism,Private Statehood,Proprietary Rule
+1 (Executive),National Command,Central Bureaucracy,Industrial Policy,New Dealism,Third Way,Executive Republic,Liberal Democracy,Neoliberalism,Hyper-Privatization,Contractualism,Market Hegemony
0 (Constitutional),Council Republic,Planned Democracy,Social Democracy,Welfare State,Rhine Capitalism,Liberalism,Market Democracy,Laissez-Faire Republic,Market Constitutionalism,Galt’s Gulch,Contract State
-1 (Decentralized),Idealized Soviet,Local Planning,Guild Socialism,Distributism,Social Liberalism,Federalism,Minarchism,Polycentric Law,Voluntarism,Free Banking,Market Anarchy
-2 (Minimalist),Minarchist Commune,Syndicalism,Mutualism,Georgism,Civil Society,Classical Liberalism,Night-Watchman State,Agorism,Panarchism,Private Law Society,Contract Society
-3 (Watchman),Communitarianism,Cooperative Federation,Left-Agorism,Market Socialism,Libertarianism,Minarchism,Watchman State,Anarcho-Capitalism Lite,Voluntarism,Private Cities,Market Order
-4 (Autonomous),Autonomous Zone,Collective,Communes,Cooperative Federation,Mutualism,Free Territory,Autonomy,Agorist Cell,Voluntarism,Privatism,Anarcho-Capitalism
-5 (Stateless),Pure Communism,Gift Economy,Left-Anarchism,Collectivism,Distributism,Anarchism,Individualism,Agorism,Voluntarism,Market Anarchism,Anarcho-Capitalism
